
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( _ | e ...) = 0.310036 [ -0.508587 ]
p( m | _ ...) = 0.054676 [ -1.262201 ]
p( y | m ...) = 0.198015 [ -0.703302 ]
p( _ | y ...) = 0.310158 [ -0.508417 ]
p( f | _ ...) = 0.197537 [ -0.704351 ]
p( a | f ...) = 0.253673 [ -0.595725 ]
p( v | a ...) = 0.275621 [ -0.559687 ]
p( o | v ...) = 0.316727 [ -0.499316 ]
p( r | o ...) = 0.111268 [ -0.953629 ]
p( i | r ...) = 0.316761 [ -0.499269 ]
p( t | i ...) = 0.277121 [ -0.557330 ]
p( e | t ...) = 0.159974 [ -0.795951 ]
sum logprob = -20.9584, per-symbol logprob = -0.7485, ppl = 5.6042

sentence = 'i <sp> a m <sp> r e a l l y <sp> s o r r y'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( a | _ ...) = 0.118837 [ -0.925049 ]
p( m | a ...) = 0.028926 [ -1.538717 ]
p( _ | m ...) = 0.198042 [ -0.703242 ]
p( r | _ ...) = 0.034916 [ -1.456972 ]
p( e | r ...) = 0.260010 [ -0.585009 ]
p( a | e ...) = 0.183875 [ -0.735477 ]
p( l | a ...) = 0.056585 [ -1.247298 ]
p( l | l ...) = 0.289424 [ -0.538466 ]
p( y | l ...) = 0.062745 [ -1.202421 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( s | _ ...) = 0.083715 [ -1.077198 ]
p( o | s ...) = 0.169323 [ -0.771284 ]
p( r | o ...) = 0.274476 [ -0.561496 ]
p( r | r ...) = 0.306386 [ -0.513731 ]
p( y | r ...) = 0.024616 [ -1.608790 ]
sum logprob = -15.8686, per-symbol logprob = -0.9334, ppl = 8.5792

sentence = 'i <sp> e n j o y e d <sp> s e e i n g <sp> y o u <sp> t h a n k s'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( e | _ ...) = 0.037850 [ -1.421935 ]
p( n | e ...) = 0.089892 [ -1.046280 ]
p( j | n ...) = 0.057060 [ -1.243666 ]
p( o | j ...) = 0.190740 [ -0.719558 ]
p( y | o ...) = 0.056934 [ -1.244628 ]
p( e | y ...) = 0.141630 [ -0.848844 ]
p( d | e ...) = 0.136407 [ -0.865163 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( s | _ ...) = 0.048461 [ -1.314607 ]
p( e | s ...) = 0.120776 [ -0.918019 ]
p( e | e ...) = 0.198005 [ -0.703323 ]
p( i | e ...) = 0.305720 [ -0.514676 ]
p( n | i ...) = 0.288754 [ -0.539472 ]
p( g | n ...) = 0.256382 [ -0.591112 ]
p( _ | g ...) = 0.313471 [ -0.503802 ]
p( y | _ ...) = 0.022559 [ -1.646680 ]
p( o | y ...) = 0.303123 [ -0.518381 ]
p( u | o ...) = 0.310074 [ -0.508534 ]
p( _ | u ...) = 0.201404 [ -0.695931 ]
p( t | _ ...) = 0.065657 [ -1.182718 ]
p( h | t ...) = 0.210293 [ -0.677174 ]
p( a | h ...) = 0.065634 [ -1.182868 ]
p( n | a ...) = 0.123297 [ -0.909048 ]
p( k | n ...) = 0.187079 [ -0.727975 ]
p( s | k ...) = 0.127331 [ -0.895067 ]
sum logprob = -23.8229, per-symbol logprob = -0.8823, ppl = 7.6266

sentence = 's o <sp> i s <sp> m i n e'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( o | s ...) = 0.069337 [ -1.159036 ]
p( _ | o ...) = 0.144211 [ -0.841002 ]
p( i | _ ...) = 0.117215 [ -0.931018 ]
p( s | i ...) = 0.148481 [ -0.828328 ]
p( _ | s ...) = 0.297628 [ -0.526326 ]
p( m | _ ...) = 0.019481 [ -1.710389 ]
p( i | m ...) = 0.057726 [ -1.238627 ]
p( n | i ...) = 0.107936 [ -0.966833 ]
p( e | n ...) = 0.156951 [ -0.804235 ]
sum logprob = -10.2247, per-symbol logprob = -1.0225, ppl = 10.5311

sentence = 'w h a t <sp> d i d <sp> h e <sp> t h i n k <sp> a b o u t <sp> t h a t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( d | _ ...) = 0.022595 [ -1.645992 ]
p( i | d ...) = 0.138309 [ -0.859151 ]
p( d | i ...) = 0.208549 [ -0.680792 ]
p( _ | d ...) = 0.254769 [ -0.593853 ]
p( h | _ ...) = 0.097733 [ -1.009960 ]
p( e | h ...) = 0.291853 [ -0.534836 ]
p( _ | e ...) = 0.303801 [ -0.517411 ]
p( t | _ ...) = 0.084465 [ -1.073323 ]
p( h | t ...) = 0.265923 [ -0.575245 ]
p( i | h ...) = 0.310066 [ -0.508546 ]
p( n | i ...) = 0.141048 [ -0.850633 ]
p( k | n ...) = 0.307401 [ -0.512295 ]
p( _ | k ...) = 0.313220 [ -0.504151 ]
p( a | _ ...) = 0.098791 [ -1.005283 ]
p( b | a ...) = 0.265589 [ -0.575790 ]
p( o | b ...) = 0.318441 [ -0.496971 ]
p( u | o ...) = 0.149851 [ -0.824339 ]
p( t | u ...) = 0.065332 [ -1.184873 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.170780 [ -0.767562 ]
p( h | t ...) = 0.296202 [ -0.528412 ]
p( a | h ...) = 0.164302 [ -0.784356 ]
p( t | a ...) = 0.318195 [ -0.497306 ]
sum logprob = -21.9542, per-symbol logprob = -0.7841, ppl = 6.0825

sentence = 'w h e n <sp> i <sp> a m <sp> t i r e d'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( e | h ...) = 0.135739 [ -0.867296 ]
p( n | e ...) = 0.175810 [ -0.754957 ]
p( _ | n ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.116894 [ -0.932210 ]
p( _ | i ...) = 0.040671 [ -1.390713 ]
p( a | _ ...) = 0.078932 [ -1.102745 ]
p( m | a ...) = 0.191835 [ -0.717071 ]
p( _ | m ...) = 0.312824 [ -0.504700 ]
p( t | _ ...) = 0.061573 [ -1.210609 ]
p( i | t ...) = 0.066265 [ -1.178719 ]
p( r | i ...) = 0.258628 [ -0.587324 ]
p( e | r ...) = 0.319012 [ -0.496193 ]
p( d | e ...) = 0.310549 [ -0.507869 ]
sum logprob = -12.9730, per-symbol logprob = -0.8649, ppl = 7.3260

sentence = 't h e <sp> s u n <sp> i s <sp> s h i n i n g'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( e | h ...) = 0.214233 [ -0.669113 ]
p( _ | e ...) = 0.254987 [ -0.593481 ]
p( s | _ ...) = 0.025388 [ -1.595377 ]
p( u | s ...) = 0.044063 [ -1.355922 ]
p( n | u ...) = 0.054725 [ -1.261811 ]
p( _ | n ...) = 0.194726 [ -0.710577 ]
p( i | _ ...) = 0.128778 [ -0.890159 ]
p( s | i ...) = 0.265173 [ -0.576471 ]
p( _ | s ...) = 0.305368 [ -0.515177 ]
p( s | _ ...) = 0.111756 [ -0.951729 ]
p( h | s ...) = 0.174452 [ -0.758323 ]
p( i | h ...) = 0.297169 [ -0.526997 ]
p( n | i ...) = 0.246888 [ -0.607500 ]
p( i | n ...) = 0.315440 [ -0.501084 ]
p( n | i ...) = 0.267179 [ -0.573198 ]
p( g | n ...) = 0.028838 [ -1.540033 ]
sum logprob = -15.2304, per-symbol logprob = -0.8461, ppl = 7.0167

sentence = 'w h e n <sp> w i l l <sp> i <sp> s e e <sp> y o u <sp> n e x t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( e | h ...) = 0.135739 [ -0.867296 ]
p( n | e ...) = 0.175810 [ -0.754957 ]
p( _ | n ...) = 0.313471 [ -0.503802 ]
p( w | _ ...) = 0.059977 [ -1.222016 ]
p( i | w ...) = 0.111038 [ -0.954529 ]
p( l | i ...) = 0.162418 [ -0.789365 ]
p( l | l ...) = 0.297732 [ -0.526175 ]
p( _ | l ...) = 0.298884 [ -0.524498 ]
p( i | _ ...) = 0.131536 [ -0.880956 ]
p( _ | i ...) = 0.066697 [ -1.175893 ]
p( s | _ ...) = 0.079944 [ -1.097215 ]
p( e | s ...) = 0.172403 [ -0.763455 ]
p( e | e ...) = 0.269238 [ -0.569863 ]
p( _ | e ...) = 0.311515 [ -0.506521 ]
p( y | _ ...) = 0.080330 [ -1.095122 ]
p( o | y ...) = 0.303651 [ -0.517625 ]
p( u | o ...) = 0.310784 [ -0.507542 ]
p( _ | u ...) = 0.239566 [ -0.620574 ]
p( n | _ ...) = 0.058912 [ -1.229796 ]
p( e | n ...) = 0.263473 [ -0.579264 ]
p( x | e ...) = 0.290269 [ -0.537199 ]
p( t | x ...) = 0.049603 [ -1.304496 ]
sum logprob = -19.7469, per-symbol logprob = -0.8228, ppl = 6.6495

sentence = 'a <sp> l o n g <sp> t i m e <sp> a g o'
p( a | <s> ...) = 0.088923 [ -1.050985 ]
p( _ | a ...) = 0.116438 [ -0.933906 ]
p( l | _ ...) = 0.024519 [ -1.610497 ]
p( o | l ...) = 0.123548 [ -0.908163 ]
p( n | o ...) = 0.112779 [ -0.947772 ]
p( g | n ...) = 0.141899 [ -0.848020 ]
p( _ | g ...) = 0.270125 [ -0.568435 ]
p( t | _ ...) = 0.169168 [ -0.771683 ]
p( i | t ...) = 0.249430 [ -0.603052 ]
p( m | i ...) = 0.306131 [ -0.514093 ]
p( e | m ...) = 0.318845 [ -0.496420 ]
p( _ | e ...) = 0.311387 [ -0.506700 ]
p( a | _ ...) = 0.280952 [ -0.551368 ]
p( g | a ...) = 0.294014 [ -0.531632 ]
p( o | g ...) = 0.318421 [ -0.496998 ]
sum logprob = -11.3397, per-symbol logprob = -0.7560, ppl = 5.7014

sentence = 'i <sp> h a d <sp> a <sp> r e a l <sp> b u s y <sp> d a y'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( h | _ ...) = 0.062916 [ -1.201239 ]
p( a | h ...) = 0.220227 [ -0.657129 ]
p( d | a ...) = 0.119299 [ -0.923363 ]
p( _ | d ...) = 0.307443 [ -0.512236 ]
p( a | _ ...) = 0.118271 [ -0.927124 ]
p( _ | a ...) = 0.182459 [ -0.738834 ]
p( r | _ ...) = 0.020662 [ -1.684819 ]
p( e | r ...) = 0.205523 [ -0.687140 ]
p( a | e ...) = 0.153784 [ -0.813088 ]
p( l | a ...) = 0.037235 [ -1.429044 ]
p( _ | l ...) = 0.170405 [ -0.768518 ]
p( b | _ ...) = 0.034780 [ -1.458666 ]
p( u | b ...) = 0.067343 [ -1.171706 ]
p( s | u ...) = 0.118737 [ -0.925414 ]
p( y | s ...) = 0.146089 [ -0.835384 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( d | _ ...) = 0.139194 [ -0.856378 ]
p( a | d ...) = 0.313757 [ -0.503407 ]
p( y | a ...) = 0.307699 [ -0.511875 ]
sum logprob = -19.0088, per-symbol logprob = -0.9052, ppl = 8.0386

sentence = 'p l e a s e <sp> c o m e <sp> r i g h t <sp> b a c k'
p( p | <s> ...) = 0.047203 [ -1.326033 ]
p( l | p ...) = 0.076707 [ -1.115165 ]
p( e | l ...) = 0.092150 [ -1.035506 ]
p( a | e ...) = 0.195401 [ -0.709074 ]
p( s | a ...) = 0.057401 [ -1.241082 ]
p( e | s ...) = 0.101235 [ -0.994669 ]
p( _ | e ...) = 0.313471 [ -0.503802 ]
p( c | _ ...) = 0.015499 [ -1.809707 ]
p( o | c ...) = 0.150873 [ -0.821388 ]
p( m | o ...) = 0.164999 [ -0.782520 ]
p( e | m ...) = 0.187791 [ -0.726325 ]
p( _ | e ...) = 0.275954 [ -0.559163 ]
p( r | _ ...) = 0.022051 [ -1.656573 ]
p( i | r ...) = 0.163150 [ -0.787414 ]
p( g | i ...) = 0.045549 [ -1.341517 ]
p( h | g ...) = 0.313061 [ -0.504371 ]
p( t | h ...) = 0.169913 [ -0.769773 ]
p( _ | t ...) = 0.313162 [ -0.504231 ]
p( b | _ ...) = 0.170465 [ -0.768366 ]
p( a | b ...) = 0.278200 [ -0.555642 ]
p( c | a ...) = 0.308006 [ -0.511441 ]
p( k | c ...) = 0.074874 [ -1.125666 ]
sum logprob = -20.1494, per-symbol logprob = -0.9159, ppl = 8.2392

sentence = 'y o u <sp> a r e <sp> t h e <sp> g r e a t e s t <sp> k i d s <sp> i n <sp> t h e <sp> w o r l d'
p( y | <s> ...) = 0.020894 [ -1.679973 ]
p( o | y ...) = 0.150989 [ -0.821056 ]
p( u | o ...) = 0.291616 [ -0.535188 ]
p( _ | u ...) = 0.241365 [ -0.617326 ]
p( a | _ ...) = 0.113845 [ -0.943688 ]
p( r | a ...) = 0.115694 [ -0.936687 ]
p( e | r ...) = 0.291362 [ -0.535567 ]
p( _ | e ...) = 0.297482 [ -0.526539 ]
p( t | _ ...) = 0.081948 [ -1.086462 ]
p( h | t ...) = 0.189491 [ -0.722412 ]
p( e | h ...) = 0.268070 [ -0.571751 ]
p( _ | e ...) = 0.277260 [ -0.557113 ]
p( g | _ ...) = 0.032082 [ -1.493740 ]
p( r | g ...) = 0.126835 [ -0.896759 ]
p( e | r ...) = 0.257875 [ -0.588591 ]
p( a | e ...) = 0.300587 [ -0.522030 ]
p( t | a ...) = 0.055815 [ -1.253247 ]
p( e | t ...) = 0.263792 [ -0.578738 ]
p( s | e ...) = 0.030485 [ -1.515914 ]
p( t | s ...) = 0.313972 [ -0.503109 ]
p( _ | t ...) = 0.313471 [ -0.503802 ]
p( k | _ ...) = 0.014374 [ -1.842422 ]
p( i | k ...) = 0.208535 [ -0.680821 ]
p( d | i ...) = 0.110990 [ -0.954715 ]
p( s | d ...) = 0.097707 [ -1.010075 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.185996 [ -0.730497 ]
p( n | i ...) = 0.310973 [ -0.507277 ]
p( _ | n ...) = 0.312212 [ -0.505551 ]
p( t | _ ...) = 0.243175 [ -0.614081 ]
p( h | t ...) = 0.300525 [ -0.522119 ]
p( e | h ...) = 0.305882 [ -0.514447 ]
p( _ | e ...) = 0.310337 [ -0.508167 ]
p( w | _ ...) = 0.262558 [ -0.580774 ]
p( o | w ...) = 0.310777 [ -0.507552 ]
p( r | o ...) = 0.311439 [ -0.506627 ]
p( l | r ...) = 0.311769 [ -0.506167 ]
p( d | l ...) = 0.068616 [ -1.163575 ]
sum logprob = -29.5484, per-symbol logprob = -0.7776, ppl = 5.9922

sentence = 'i <sp> w o u l d <sp> l i k e <sp> t o <sp> e a t <sp> s o m e <sp> f i s h'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( o | w ...) = 0.091403 [ -1.039040 ]
p( u | o ...) = 0.198606 [ -0.702009 ]
p( l | u ...) = 0.087658 [ -1.057210 ]
p( d | l ...) = 0.071516 [ -1.145595 ]
p( _ | d ...) = 0.291836 [ -0.534861 ]
p( l | _ ...) = 0.080290 [ -1.095337 ]
p( i | l ...) = 0.239204 [ -0.621232 ]
p( k | i ...) = 0.285575 [ -0.544279 ]
p( e | k ...) = 0.318785 [ -0.496502 ]
p( _ | e ...) = 0.289511 [ -0.538334 ]
p( t | _ ...) = 0.264929 [ -0.576871 ]
p( o | t ...) = 0.304470 [ -0.516455 ]
p( _ | o ...) = 0.313220 [ -0.504151 ]
p( e | _ ...) = 0.061210 [ -1.213175 ]
p( a | e ...) = 0.036512 [ -1.437560 ]
p( t | a ...) = 0.058533 [ -1.232598 ]
p( _ | t ...) = 0.313261 [ -0.504094 ]
p( s | _ ...) = 0.079915 [ -1.097371 ]
p( o | s ...) = 0.278005 [ -0.555947 ]
p( m | o ...) = 0.278426 [ -0.555290 ]
p( e | m ...) = 0.318990 [ -0.496223 ]
p( _ | e ...) = 0.212511 [ -0.672619 ]
p( f | _ ...) = 0.098969 [ -1.004500 ]
p( i | f ...) = 0.078130 [ -1.107180 ]
p( s | i ...) = 0.210791 [ -0.676147 ]
p( h | s ...) = 0.146927 [ -0.832899 ]
sum logprob = -23.8164, per-symbol logprob = -0.8213, ppl = 6.6260

sentence = 'h o w <sp> l o n g <sp> d o e s <sp> i t <sp> t a k e'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( l | _ ...) = 0.024425 [ -1.612157 ]
p( o | l ...) = 0.128980 [ -0.889479 ]
p( n | o ...) = 0.144260 [ -0.840855 ]
p( g | n ...) = 0.087221 [ -1.059379 ]
p( _ | g ...) = 0.280560 [ -0.551975 ]
p( d | _ ...) = 0.077840 [ -1.108798 ]
p( o | d ...) = 0.236151 [ -0.626810 ]
p( e | o ...) = 0.209762 [ -0.678273 ]
p( s | e ...) = 0.078173 [ -1.106941 ]
p( _ | s ...) = 0.306457 [ -0.513631 ]
p( i | _ ...) = 0.223022 [ -0.651652 ]
p( t | i ...) = 0.317968 [ -0.497616 ]
p( _ | t ...) = 0.312925 [ -0.504559 ]
p( t | _ ...) = 0.303762 [ -0.517466 ]
p( a | t ...) = 0.316210 [ -0.500025 ]
p( k | a ...) = 0.307593 [ -0.512024 ]
p( e | k ...) = 0.148924 [ -0.827035 ]
sum logprob = -17.1912, per-symbol logprob = -0.8186, ppl = 6.5861

sentence = 'i <sp> w a s <sp> o n l y <sp> j o k i n g'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( a | w ...) = 0.137496 [ -0.861710 ]
p( s | a ...) = 0.247602 [ -0.606246 ]
p( _ | s ...) = 0.299117 [ -0.524159 ]
p( o | _ ...) = 0.068301 [ -1.165574 ]
p( n | o ...) = 0.202907 [ -0.692703 ]
p( l | n ...) = 0.115683 [ -0.936731 ]
p( y | l ...) = 0.075664 [ -1.121110 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( j | _ ...) = 0.034048 [ -1.467906 ]
p( o | j ...) = 0.153772 [ -0.813124 ]
p( k | o ...) = 0.263027 [ -0.580000 ]
p( i | k ...) = 0.311007 [ -0.507230 ]
p( n | i ...) = 0.313835 [ -0.503299 ]
p( g | n ...) = 0.306355 [ -0.513775 ]
sum logprob = -13.8562, per-symbol logprob = -0.8151, ppl = 6.5324

sentence = 'w h a t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
sum logprob = -4.3843, per-symbol logprob = -1.0961, ppl = 12.4761

sentence = 'i <sp> s t i l l <sp> h a v e <sp> t o'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( s | _ ...) = 0.024989 [ -1.602256 ]
p( t | s ...) = 0.090195 [ -1.044818 ]
p( i | t ...) = 0.123004 [ -0.910080 ]
p( l | i ...) = 0.088647 [ -1.052335 ]
p( l | l ...) = 0.086811 [ -1.061423 ]
p( _ | l ...) = 0.313471 [ -0.503802 ]
p( h | _ ...) = 0.156376 [ -0.805831 ]
p( a | h ...) = 0.294295 [ -0.531217 ]
p( v | a ...) = 0.085476 [ -1.068155 ]
p( e | v ...) = 0.217609 [ -0.662323 ]
p( _ | e ...) = 0.276174 [ -0.558817 ]
p( t | _ ...) = 0.151881 [ -0.818496 ]
p( o | t ...) = 0.175601 [ -0.755472 ]
sum logprob = -13.2747, per-symbol logprob = -0.8850, ppl = 7.6732

sentence = 't a l k <sp> t o <sp> y o u <sp> s o o n'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( a | t ...) = 0.042738 [ -1.369186 ]
p( l | a ...) = 0.087505 [ -1.057968 ]
